"%s was successfully added to your shopping cart.","%s sikeresen a kosárba téve."
"&laquo; Back to Billing Information","&laquo; Vissza a számlázási információkhoz"
"&laquo; Back to Select Addresses","&laquo; Vissza a címek kiválasztásához"
"&laquo; Back to Shopping Cart","&laquo; Vissza a kosárhoz"
"* Required Fields","* Kötelező kitölteni"
"Add New Address","Új cím hozzáadása"
"Add New Condition","Új feltétel hozzáadása"
"Add to Cart","Kosárba rak"
"Add to Compare","Összehasonlít"
"Add to Wishlist","Kívánságlistára"
"Address","Címek"
"Address %s of %s","Címek %s - %s"
"<div>Click <a href=""%s"">here</a> to adjust cart items or quantity!</div>","<div>Kattintson <a href=""%s"">ide</a> a kosár tételeinek vagy mennyiségének beállításához!</div>"
"After adding a product redirect to shopping cart","Miutána a kosárba tettünk egy terméket, irányítson a bevásárlókosárhoz"
"Allow Guest Checkout","Vendég vásárlásának engedélyezése"
"Already registered?","Már regisztrált nálunk?"
"An error occurred in the process of payment","Hiba lépett fel a fizetési folyamatban"
"Apply Coupon","Kupon érvényesítése"
"Are you sure you would like to remove this item from the shopping cart?","Biztos benne hogy el akarja távolítani ezt a terméket a kosárból?"
"Back","Vissza"
"Back to Shipping Information","Vissza a szállítási információkhoz"
"Based on your selection, you may be interested in the following items:","Alapozva a választására, talán a következő termékeink is érdekelni fogják:"
"Billing Address","Számlázási cím"
"Billing Information","Számlázási információk"
"Billing Information - %s","Számlázási információk - %s"
"Can not add item to shopping cart","Nem lehet ezt a terméket a kosárba rakni."
"Can not apply coupon code.","Kupon kódot nem sikerült ellenőrizni."
"Can't open overview page","Nem sikerült megnyitni az áttekintőt"
"Cancel Coupon","Kupon törlése"
"Cannot remove item","Elemet nem sikerült eltávolítani"
"Cannot update shopping cart","Kosárat nem sikerült frissíteni"
"Card Verification Number Visual Reference","Kártya ellenőrző kód, Látható hivatkozás"
"Cart Subtotal:","Kosár részösszeg:"
"Change","Módosít"
"Change Billing Address","Számlázási cím módosítása"
"Checkbox text","Checkbox szöveg"
"Checkout","Pénztár"
"Checkout Conditions","Vásárlás feltételei"
"Checkout Options","Pénztár beállítás"
"Checkout Section","Pénztár szekció"
"Checkout Terms and Conditions","Pénztár használati feltételek"
"Checkout as Guest","Vásárlás vendégként"
"Checkout as a Guest or Register","Vásárlás vendégként vagy regisztráció"
"Checkout method","Vásárlás folyamata"
"Checkout with Multiple Addresses","Számlázás több címre"
"City","Város"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kattintson <a href=""%s"" onclick=""this.target='_blank'"">ide a nyomtatáshoz</a> ami a rendelésvisszaigazolást tartalmazza."
"Close","Bezár"
"Company","Cégnév"
"Condition Name","Feltétel neve"
"Condition was successfully deleted","Feltétel sikeresen törölve"
"Condition was successfully saved","Feltétel sikeresen mentve"
"Configurable product image","Konfigurálható termék képe"
"Confirm Password","Jelszó újra"
"Content","Tartalom"
"Content Height","Tartalmi rész magassága"
"Content Height (css)","Tartalom magassága (css)"
"Continue","Tovább"
"Continue Shopping","Vásárlás folytatása"
"Continue to Billing Information","Tovább a számlázási információkhoz"
"Continue to Review Your Order","Tovább a rendelés áttekintéséhez"
"Continue to Shipping Information","Tovább a szállítási információkhoz"
"Country","Ország"
"Coupon code ""%s"" is not valid.","Kupon kód ""%s"" nem érvényes."
"Coupon code ""%s"" was applied successfully.","Kupon kód ""%s"" sikeresen elfogadva."
"Coupon code was canceled successfully.","Kupon kód sikeresen törölve."
"Create Billing Address","Számlázási cím létrehozása"
"Create Shipping Address","Szállítási cím létrehozása"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Mentési probléma"
"Default Billing","Alapértelmezett számlázás"
"Default Shipping","Alapértelmezett szállítás"
"Delete Condition","Feltétel törlése"
"Details","Részletek"
"Disable Onepage Checkout","Egyoldalas pénztár tiltása"
"Disabled","Tiltva"
"Discount Codes","Árengedmény kódok"
"Display Cart Summary","Kosár összesítő mutatása"
"Display Shopping Cart Sidebar","Bevásárlókosár mutatása a sidebar-on"
"Display item quantities","Termék mennyiségek mutatása"
"Display number of items in cart","Termékek számának mutatása a kosárban"
"Easy access to your order history and status","Könnyű hozzáférés a rendelés történethez és állapothoz."
"Edit","Szerkeszt"
"Edit Address","Cím szerkesztése"
"Edit Billing Address","Számlázási cím szerkesztése"
"Edit Items","Elemek szerkesztése"
"Edit Shipping Address","Szállítási cím szerkesztése"
"Edit Terms and Conditions","Felhasználási feltételek szerkesztése"
"Edit Your Cart","Kosár szerkesztése"
"Email Address","E-mail cím"
"Enable Terms and�Conditions","Felhasználási feltételek engedélyezése"
"Enabled","Engedélyezve"
"Enter a New Address","Írjon be új címet"
"Enter your coupon code if you have one.","Adja meg a kupon kódját ha rendelkezik vele."
"Enter your destination to get a shipping estimate.","Adja meg a szállítás címét a fuvardíj becsléséhez."
"Error while deleting this condition. Please try again later.","Hiba a feltétel törlésekor, próbálja meg később."
"Error while saving this condition. Please try again later.","Hiba a feltétel mentésekor, próbálja meg később."
"Estimate Shipping and Tax","Szállítás díj becslése."
"Excl. Tax","Áfa nélkül"
"Fast and easy check out","Könnyű és gyors vásárlás"
"Fax","Fax"
"Forgot an Item?","Elfelejtett valamit?"
"Forgot your password?","Elfelejtette jelszavát?"
"Get a Quote","Számolás"
"Grand Total:","Végösszeg:"
"Grouped product image","Csoportos termék kép"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Áfával"
"Invalid data","Érvénytelen adat"
"Invalid email address ""%s""","Érvénytelen e-mail cím ""%s"""
"Invalid shipping method.","Érvénytelen szállítási mód."
"Items","Termékek"
"Load customer quote error","Vevő üzenet hiba betöltése"
"Loading next step...","Következő lépés betöltése..."
"Login","Bejelentkezés"
"Manage Checkout Terms and Conditions","Pénztár Felhasználási feltételek kezelése"
"Maximum display Recently added item(s)","Maximum megjelenített legutóbb hozzáadott elem"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum engedélyezett mennyiség a több címre szállításhoz: %s"
"Move to Wishlist","Kívánságlistára"
"My Account","Személyes adatok"
"My Cart","My Cart"
"My Cart (%s item)","Kosaram (%s termék)"
"My Cart (%s items)","Kosaram (%s termék)"
"My Cart Link","Kosár link"
"New Address","Új cím"
"New Condition","Új feltétel"
"Order #","Rendelés #"
"Order Review","Rendelés áttekintése"
"Order Success","Rendelés sikeres"
"Other items in your order","Egyéb elemek a rendelésében"
"Password","Jelszó"
"Payment Failed Email Reciever","Sikertelen fizetés E-mail címzett"
"Payment Failed Email Sender","Sikertelen fizetés e-mail feladó"
"Payment Failed Emails","Sikertelen fizetés E-mail-ek"
"Payment Failed Template","Sikertelen fizetés e-mail sablon"
"Payment Information","Fizetési információk"
"Payment Method","Fizetési mód"
"Payment method is not defined","Fizetési mód nincs megadva"
"Place Order","Rendelés elküldése"
"Please <a href=""%s"">continue shopping</a>.","Kérjük <a href=""%s"">folytassa a vásárlást</a>."
"Please agree to all Terms and Conditions before placing the order.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi rendelését."
"Please agree to all Terms and Conditions before placing the orders.","Kérjük fogadja el a felhasználási feltételeket mielőtt elküldi megrendeléseit."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Adjon meg valós irányító számot."
"Please log in below:","Itt tud bejelentkezni:"
"Please select region, state or province","Válasza ki a megyét"
"Please select shipping address for applicable items","Válasszon szállítási címet a megfelelő termékekhez"
"Please select shipping methods for all addresses","Válasszon szállítási módot a címekhez"
"Price","Ár"
"Proceed to Checkout","Tovább a pénztárhoz"
"Product","Termék"
"Product Name","Termék neve"
"Product does not exist","Termék nem létezik"
"Qty","Mennyiség"
"Quote Lifetime (days)","Időszak (nap)"
"Recently added item(s)","Legutóbb hozzáadott termékek"
"Register","Regisztráció"
"Register and save time!","Regisztráljon és nyerjen időt!"
"Register to Create an Account","Regisztráljon és hozza létre fiókját"
"Register with us for future convenience:","Regisztráljon nálunk a további kényelemért:"
"Remove","Eltávolít"
"Remove Item","Eltávolít"
"Remove Product","Termék eltávolítása"
"Remove item","Eltávolít"
"Review Order","Rendelés átnézése"
"Review Order - %s","Rendelés átnézése - %s"
"Sales","Eladások"
"Save Condition","Feltételek mentése"
"Save in address book","Címjegyzékbe ment"
"Select Address","Válasszon címet"
"Select Addresses","Válassza ki a címeket"
"Select Shipping Method","Válassza ki a szállítási módot"
"Select State/Province...","Válassza ki a megyét"
"Select a billing address from your address book or enter a new address.","Válassza ki a számlázási címet a címjegyzékből vagy adjon meg egy újat."
"Select a shipping address from your address book or enter a new address.","Válassza ki a szállítási címet a címjegyzékből vagy adjon meg egy újat."
"Send Payment Failed Email Copy Method","Fizetés sikertelen e-mail másolat küldési mód"
"Send Payment Failed Email Copy To","Fizetés sikertelen e-mail másolat címzett"
"Send to","Küldés ide"
"Ship to Multiple Addresses","Több címre szállítás"
"Ship to different address","Másik címre szállítás"
"Ship to this address","Szállítás erre a címre"
"Shipping Address","Szállítási cím"
"Shipping Information","Szállítási információk"
"Shipping Method","Szállítási mód"
"Shipping Methods","Szállítási módok"
"Shipping method has not been selected yet","Szállítási mód még nincs kiválasztva"
"Shipping selection is not applicable","Szállítás nem választható"
"Shipping to","Szállítás ide"
"Shopping Cart","Bevásárlókosár"
"Shopping Cart Sidebar","Bevásárlókosár sidebar"
"Shopping Cart is Empty","Bevásárlókosár üres"
"Show Content as","Tartalom mutatása mint"
"Some of the products you requested are not available in the desired quantity","Néhány termék nincs a kért mennyiségben"
"Some of the products you requested are unavailable","Néhány termék nem elérhető."
"Sorry, Onepage Checkout is disabled.","Elnézést, de a pénztár le van tiltva."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sajnálom, vendégként vásárlás nem engedélyezett, vegye fel a kapcsolatat az oldal tulajdonosával."
"Sorry, no quotes are available for this order at this time.","Nincsenek elérhető megjegyzések ehhez a rendeléshez."
"State/Province","Megye"
"Status","Állapot"
"Store View","Bolt nézet"
"Street Address","Utca/házszám"
"Street Address ","Utca/házszám "
"Submitting order information...","Rendelési információk feldolgozása..."
"Subtotal","Részösszeg"
"Telephone","Telefon"
"Terms and Conditions","Használati feltételek"
"Terms and Conditions Information","Használati feltételek info"
"Terms and conditions","Használati feltételek"
"Text","Szöveg"
"Thank you for your purchase!","Köszönjük hogy nálunk vásárolt!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","<a href=""%s""><strong>%s termék</strong></a> van a kosárban."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","<a href=""%s""><strong>1 termék</strong></a> van a kosárban."
"There is already a customer registered using this email address","Már regisztrált egy felhasználó ezzel az e-mail címmel"
"There was an error processing your order. Please contact us or try again later.","Hiba történt a rendelés feldolgozása közben. Lépjen kapcsolatba velünk, vagy próbálja meg később."
"This condition no longer exists","Ez a feltétel nem létezik többé"
"Total","Végösszeg"
"Total for this address","Végösszeg erre a címre"
"Unit Price","Egységár"
"Update Qty &amp; Addresses","Mennyiség &amp; címek frissítése"
"Update Shopping Cart","Bevásárlókosár frissítése"
"Update Total","Végösszeg frissítése"
"Use Billing Address","Számlázási címet használ"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Rendelése feldolgozás alatt van,hamarosan küldünk egy e-mailt a rendelés részleteivel."
"You have no items in your shopping cart.","Az Ön bevásárlókosara üres."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Egy e-mail üzenetet fog kapni a rendelés visszaigazolásáról, és egy linket a nyomonkövetéséhez."
"Your Checkout Progress","Pénztári folyamat"
"Your order # is: %s","Rendelés # : %s"
"Your order # is: <a href=""%s"">%s</a>","Rendelés #: <a href=""%s"">%s</a>"
"Your order has been received","Rendelését megkaptuk"
"Your order number is ","Rendelésének azonosítója: "
"Zip/Postal Code","Irányítószám"
"osCommerce Orders","osCommerce rendelések"
"separate by "",""","elválasztó: "","""
"My Cart","Kosaram"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"As soon as possible","A lehető leghamarabb"
"Select preferred time","Válassza ki a kívánt időt"
"Items in your order","Kosarad"
"Item was removed successfully.","A termék sikeresen törlödott"