"[Show]","[Afișare]"
"%s%%","%s%%"
"Account","Cont"
"Account owner","Proprietar cont"
"Agreements not confirmed.","Acorduri neconfirmate."
"All","Toate"
"All prices excluding tax and including <a href=""%s"">shipping</a>.","Preţurile nu includ TVA şi includ taxa de <a href=""%s"">livrare</a>."
"All prices excluding tax and excluding <a href=""%s"">shipping</a>.","Preţurile nu includ TVA şi taxa de <a href=""%s"">livrare</a>."
"All prices including tax and including <a href=""%s"">shipping</a>.","Preţurile sunt cu TVA şi includ taxa de <a href=""%s"">livrare</a>."
"All prices including tax and excluding <a href=""%s"">shipping</a>.","Preţurile sunt cu TVA şi nu includ taxa de <a href=""%s"">livrare</a>."
"All prices including <a href=""%s"">shipping</a>.","Preţurile includ taxa de <a href=""%s"">livrare</a>."
"All prices excluding <a href=""%s"">shipping</a>.","Preţurile nu includ taxa de <a href=""%s"">livrare</a>."
"The crossed prices correspond to the previous prices on %s.","Preţurile tăiate corespund preţurilor anterioare eventualelor reduceri."
"All tax settings will be overwritten!","Toate setările de taxe vor fi suprascrise!"
"Authority (ECG)","Autoritate (ECG)"
"Bank Information","Informații bancă"
"Bank name","Nume bancă"
"Bank number","Număr bancă"
"Bank Payment","Transfer bancar"
"Base Price","Preț de bază"
"BIC/SWIFT","BIC/SWIFT"
"Blugento Localizer: Error for country(%s) resource(%s).","Blugento Localizer: eroare pentru ţara(%s) resursa(%s)."
"Blugento Localizer has been installed.","Blugento Localizer a fost instalat."
"Blugento Localizer: Checkout Agreements have been created.","Blugento Localizer: acordurile de finalizare comandă au fost create."
"Blugento Localizer: CMS Blocks and Pages have been created.","Blugento Localizer: blocurile și paginile CMS au fost create."
"Blugento Localizer: Email Templates have been created.","Blugento Localizer: şabloanele e-mail au fost create."
"Blugento Localizer: Product Tax Classes have been updated.","Blugento Localizer: clasele de taxare produs au fost actualizate."
"Blugento Localizer: System Config Settings have been updated.","Blugento Localizer: setările de configurare sistem au fost actualizate."
"Blugento Localizer: Tax Settings have been created.","Blugento Localizer: setările de taxe au fost create."
"Cash on Delivery","Plată ramburs"
"CEO","CEO"
"City","Localitate"
"Clearing","Încasare"
"CMS Page for Shipping Info","Pagină CMS pentru informații de livrare"
"CMS Settings","Setări CMS"
"Company 1","Companie 1"
"Company 2","Companie 2"
"Conditions","Condiții"
"Configuration Settings","Setări configurare"
"Configure Tax","Configurare taxe"
"Create Checkout Agreements","Creare acorduri de finalizare comandă"
"Create CMS Pages and Blocks","Creare blocuri şi pagini CMS"
"Create Email Templates","Creare şabloane e-mail"
"Create Transational Email Templates to be managed in the Magento admin area","Creare şabloane e-mail-uri tranzacționale pentru fi gestionate în zona de administrare Magento"
"Debit Payment","Plată debit"
"Default (Configuration)","Standard (Configurare)"
"Default Revocation Product Type (for extra checkout agreements)","Tip produs revocat standard (pentru acorduri de finalizare comandă suplimentare)"
"Default Setting","Setare standard"
"Delivery of Goods","Livrarea bunurilor"
"Delivery Time","Timp de livrare"
"Digital Content","Conținut digital"
"Directory ""%s"" not found. Locale not installed?","Directorul ""%s"" negăsit. Localizare neinstalată?"
"Display Additional Information","Afișare informații suplimentare"
"Display Block below Price","Afișare bloc sub preț"
"Display Checkbox on Frontend","Afișare checkbox pe frontend"
"Display content from text field below at the checkout confirm page directly above the checkout button","Afișare conținut din câmpul text de mai jos în pagina de confirmare a finalizării comenzii direct deasupra butonului de finalizare comandă"
"Display Delivery time on Category Pages","Afișare timp de livrare pe paginile de categorii"
"Display extra checkout agreements for Digital Goods and Services","Afișare acorduri de finalizare comandă suplimentare pentru bunuri și servicii digitale"
"Display for following Revocation Product Types","Afișare pentru următoarele tipuri de produs revocate"
"Display on","Afișare pe"
"Display Product Weight below Price","Afișare greutate produs sub preț"
"Display tax info and shipping cost link below the price on all pages","Afișare link informații taxe și costuri de livrare sub preț pe toate paginile"
"Dynamic Shipping Tax Class Calculation","Calculare dinamică pentru clasa de taxare la livrare"
"E-Mail","E-Mail"
"e.g. g, kg, lb, ...","ex. g, kg, lb, ..."
"Edit item parameters","Modificare optiuni produs"
"Editorial Concept","Concept editorial"
"Email Settings","Setări e-mail"
"Ensures that the ip address of the customers doesnt get involved into the tracking","Se asigură că adresa ip a clienților nu este implicată în urmărire"
"Excl. %s Tax","Fără TVA %s"
"excl. <a href=""%s"">Shipping Cost</a>","fără <a href=""%s"">Costuri de livrare</a>"
"Extension Key","Cheie extensie"
"Fax","Fax"
"Financial office","Birou financiar"
"German Email Templates","Șabloane e-mail în germană"
"German Language Pack","Pachet limba germană"
"Here you find information regarding the shipping costs.","Aici găsiți informații cu privire la costurile de livrare."
"Hide box ""Last Ordered Items""","Ascundere căsuţă ""Ultimele produse comandate"""
"Hide estimated shipping costs in cart","Ascundere costuri de estimate livrare din coș"
"i.e. newsletter confirmation, account confirmation","adică confirmare abonare, informații cont"
"i.e. shipping, conditions, revocation","adică livrare, condiții, revocare"
"IBAN","IBAN"
"If you want to add additional StoreViews (i.e. for multiple languages), please do so before submitting this form.","Dacă doriți să adăugați vitrine suplimentare (de ex. pentru limbi multiple), vă rugăm să o faceți înaintea trimiterii acestui formular."
"If your desired locale is missing, it is not supported yet by Blugento Localizer.","Dacă localizarea dorită lipsește, nu este suportată momentan de către Blugento Localizer."
"If your desired locale is missing, please check if it installed.","Dacă localizarea dorită lipsește, verificați dacă este instalată."
"Imprint","Informații printare"
"Incl. %s Tax","TVA %s inclus"
"incl. <a href=""%s"">Shipping Cost</a>","cu <a href=""%s"">Costuri de livrare</a>"
"Incl. Tax","Inclusiv taxe"
"Invoice Payment","Plată factură"
"Ip anonymization","Anonimizare IP"
"Language Package for CMS Pages/Blocks/Agreements","Pachet limbă pentru pagini/blocuri/acorduri CMS"
"Language Package for Email Templates","Pachet limbă pentru şabloane e-mail"
"MagentoConnect","MagentoConnect"
"New","Nou"
"Newsletter Subscribers Status History","Istoric status abonați newsletter"
"No Block","Niciun bloc"
"No Page","Nicio pagină"
"No specification Layout file is set on the default theme","Nicio specificaţie Layout nu este setată în tema implicită"
"No tax","Nicio taxă"
"Nowhere","Nicăieri"
"Old","Vechi"
"On checkout (Magento Default)","În finalizare comandă (standard Magento)"
"On customer registration (or on checkout, if customer not registered before)","La înregistrare client (sau în finalizare comandă, dacă clientul nu s-a înregistrat înainte)"
"On customer registration and on checkout","La înregistrare client și în finalizare comandă"
"Owner","Proprietar"
"Please choose the requested setups:","Selectați instalările necesare:"
"Popular Payment Methods","Metode populare de plată"
"Popular Payment Methods in Germany","Metode de plată populare în Germania"
"Recommended Extensions","Extensii recomandate"
"Reference for business rules (physician, physician...)","Referințe pentru reguli de afacere"
"Register court","Țara Registrului Comerțului"
"Register number","Nr. Reg. Com."
"relevant for Austrian shops","relevant pentru magazine Austriece"
"Replace with a link to the ""Shipping costs"" CMS page","Înlocuire cu un link către pagina CMS ""Costuri de livrare"""
"Require Confirmation on Customer Registration and/or Checkout","Solicitare confirmare la înregistrare client și/sau finalizare comandă"
"Responsible according to § 5 TMG","Responsabil conform § 5 TMG"
"Responsible for content","Responsabil pentru conținut"
"Responsible for content address","Adresa responsabilului pentru conținut"
"Responsible in the interests of the press law","Responsabil presă"
"Revocation Product Type (for extra checkout agreements)","Tip produs returnare (pentru termeni și condiții suplimentare finalizare comandă)"
"Run Blugento Localizer","Rulare Blugento Localizer"
"Select Locale","Selectare localizare"
"Service","Serviciu"
"Shareholdings","Acționariate"
"Shipping Costs","Costuri de livrare"
"Shipping from","Livrare de la"
"Shipping from Germany","Livrare din Germania"
"Shipping Weight %s","Greutate livrare %s"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Afișare ""cu Costuri de livrare"" în loc de ""fără Costuri de livrare"""
"Skip installation","Omitere instalare"
"Street","Strada"
"Supplementary Information for Telephone","Informații suplimentare pentru telefon"
"SWIFT","SWIFT"
"Tax number","CNP"
"Tax Settings","Setări taxe"
"Telephone","Telefon"
"This setting is base for the tax rate setup!","Această setare reprezintă baza pentru setarea cotelor de taxare!"
"Unit for Product Weight","Unitate pentru greutate produs"
"Update Customer Tax Classes","Actualizare clase de taxare client"
"Update Product Tax Classes","Actualizare clase de taxare produs"
"Update System Config Settings","Actualizare setări configurare sistem"
"Use Default Setting","Utilizare setare standard"
"VAT-ID","CUI / CIF"
"Visible in Checkout","Vizibil în finalizare comandă"
"Web","Web"
"Will only be displayed if at least one product of the selected type is in cart","Va fi afișat dacă cel puțin un produs din tipul selectat este în coș"
"Zip","Cod poştal"
"cms_page_shipping","livrare"
"Global Settings","Setări generale"
"Run Setup For","Rulează Setup pentru"
"Run Blugento Localizer Setup","Rulează Setup-ul Blugento de localizare"
"Blugento Localizer Setup will run for current configuration:","Setup-ul Blugento de localizare va rula pentru configurația curentă:"
"Global level.","Nivel global."
"Website level. Tax resources will not be created.","Nivel website. Nu vor fi create toate resursele."
"Store level. Tax resources will not be created.","Nivel magaziv. Nu vor fi create toate resursele."
"Be aware that some changes are irreversible.","Atenție! Unele modificări sunt ireversibile."
"Set Product as New from Date","Setează produsul ca și NOU de la data"
"Set Product as New to Date","Setează produsul ca și NOU pana la data"
"Country of Manufacture","Țara de fabricație"
"Subtitle","Subtitlu"
"Additional Info","Informații adiționale"
"Is this Carpet product?","Necesită acest produs calcul de metri pătrați"
"Max Carpet Length (default: unlimited)","Aria maxima (default: nelimitat)"
"Short Description","Descriere scurtă"
"Product Status","Status Produs"
"Manufacturer","Producator"