"Enable Log","Activați log-urile"
"Display HTML Tags In Feed","Afișați etichete HTML în feed"
"Cache Time","Timp Cache"
"Set the lifetime of the feed before it expire and it's auto-generated (in hours).","Setați durata de viață a feedului înainte să expire și să fie generat automat (în ore)."
"Last Run Time","Ultima durata de executare"
"The time when the generate feed has run last time.","Perioada în care generarea a feed-ului a fost generat ultima dată."
"Only Visible Products","Numai produse  în stoc și activate"
"Filter Products by Visibility","Filtare Produse dupa Vizibilitate"
"Add to feed only in stock and enabled products.","Adăugați in feed doar produse în stoc și activate."
"To check this you need to add to the feed the following attributes: status, qty, is_in_stock","Pentru a verifica acest lucru, trebuie să adăugați in feed următoarele atribute: status, qty, is_in_stock"
"Show Out Of Stock Products","Afișați produsele care nu sunt in stoc"
"Add to feed out of stock products.","Adaugati in feed produse care nu sunt in stoc"
"Product Attributes","Atributele produsului"
"Select product attributes that will be added to feed. If you generate XML feed you cannot have space character on Feed Attribute Code column.","Selectați atributele de produs care vor fi adăugate la feed. Dacă generați un feed XML, nu puteți avea caracterul de spațiu în coloana Cod atribut Feed."
"Show Currency in Price/Special Price Attributes","Afișați moneda în atribute de preț / preț special"
"Show currency to price or special price.","Afișează monedă la preț sau preț special."
"Categories Display Type","Categorii Tip afișare"
"On 'Individual columns' an suffix will be added after the category name like _1, _2, _3, ..","Pe 'Coloane individuale' se va adăuga un sufix după numele categoriei, cum ar fi _1, _2, _3, .."
"Categories Separator","Separator de categorii"
"In case of CSV Feed File Type be aware that this need to be different from the CSV Delimiter or Enclosure","În cazul tipului de fișier CSV, conștiențizati faptul că acest lucru trebuie să fie diferit de delimitatorul din CSV"
"Child Categories Separator","Separator pentru subcategorii"
"Recommended to be used symbol: /","Se recomandă utilizarea simbolului: /"
"Exclude Default Category","Excludeți categoria implicită"
"Generate Full Url","Generați adresa URL completă"
"Full url example:<br><b>http://www.domain.com/product_url.html</b><br>Simple url example:<br><b>product_url.html</b>","Exemplu complet de adresă URL: <br><b> http://www.domain.com/product_url.html </b><br> Exemplu de url simplu: <br> <b> product_url.html </b>"
"Calculate Simple Product Price Used in Configurable","Calculați prețul simplu al produsului utilizat în produsul configurabil"
"<b>APBP:</b> Associated Product Base Price<br><b>CPP:</b> Configurable Product Price<br><b>APPD:</b> Associated Product Price Difference","<b> APBP: </b> Prețul de bază al produsului asociat - <b> CPP: </b> Prețul produsului configurabil <br> <b> APPD: </b> Diferența de preț a produsului asociat"
"If a simple product is associated to more than one configurable products, <b>[CPP + APPD]</b> option doesn't work correctly","Dacă un produs simplu este asociat la mai multe produse configurabile, opțiunea <b> [CPP + APPD] </b> nu funcționează corect"
"Feed File Type","Tipul feed-ului"
"Add CSV header","Adăugați antetul CSV"
"CSV Field Delimiter","Delimitator de câmp CSV"
"Recommended to be used symbol: ~","Se recomandă utilizarea simbolului: ~"
"Feed File Name","Numele fișierului/feed-ului"
"Add the file name without the file extension, example: feed_one","Adăugați numele fișierului fără extensia de fișier, de exemplu: feed_one"
"Manual Generate Feed (Select the store, save the configuration and push the 'Generate Feed' button)","Generare manuală (Selectați magazinul, salvați configurația și apăsați butonul 'Generați feed')"
"Store","Magazin"
"If you have only one store view or you need a general feed for all stores select the 'Main' store","Dacă aveți un singur magazin sau aveți nevoie de un feed general pentru toate magazinele, selectați magazinul 'Main'"
"File Path","Calea fișierului"
"File not found, generate the feed first.","Fișierul nu a fost găsit, generați mai întâi feedul."
"Feed categories tree only from this ID parent default category. If empty, all categories will show","Arborele de categorii copil al categoriei parinte default cu ID-ul respectiv. Daca e gol, vor aparea toate categoriile"
"Exclude Products with prices from catalog rules","Exclude produsele cu preturi generate din regulile de catalog"
"Filter by manufacturer","Filtrare dupa producator"
"Select Manufacturer","Alege producator"
"After enabling and saving the feed it will generate in max 10 minutes","După activarea si salvarea feed-ului, generarea lui va dura până în 10 minute daca feed-ul e proaspat activat. Pentru o regenerare rapida, stergeti cache-ul."
"7 Days","7 Zile"
"Gallery Separator","Separator Galerie Imagini"