"Active on Products","Activ pe Produse"
"Add New Tab","Adăugare Tab"
"Add products codes/skus separated by comma.","Introduceți codurile sku ale produselor separate de virgulă."
"All Products","Toate Produsele"
"Back","Înapoi"
"CMS Block","Bloc CMS"
"Created Date","Data Creării"
"Content","Conținut"
"Content Type","Tip Conținut"
"Content (Product Attribute)","Conținut (Atribut Produs)"
"Content (Static Block)","Conținut (Bloc Static)"
"Custom Products","Produse Specifice"
"Disabled","Dezactivat"
"Edit Tab","Editare Tab"
"Enabled","Activat"
"General","General"
"Maximum 30 characters.","Maxim 30 de caractere."
"Multitabs","Multitab"
"New Tab","Tab Nou"
"Only digits. Maximum sort order allowed: 99","Doar cifre. Valoare maximă permisă: 99"
"Product","Produs"
"Product Attribute","Atribut Produs"
"Product Multitabs","Multitab Produse"
"Product Reviews sort order is mandatory to have 99 value because of tabs design.","Valoarea ordinii de sortare pentru tab-ul Product Reviews trebuie sa fie 99 pentru a nu afecta design-ul tab-urilor."
"Products Codes","Coduri Produse"
"Reset","Resetare"
"Reset Filter","Resetare Filtre"
"Search","Căutare"
"Select Store","Selectare Magazin"
"Sort Order","Ordine Sortare"
"Status","Status"
"Tab Name","Nume Tab"
"The tab was successfully deleted!","Tab-ul a fost șters!"
"The tab was successfully saved!","Tab-ul a fost salvat cu succes!"
"You have to complete the products codes/skus!","Trebuie completate codurile sku ale produselor!"